CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
16950,27,21,1-27-2020-021-03,3,1,3,44.4512371000451,3,5
19814,77,101,1-77-2020-101-08,8,1,2,386.240209000203,9,5
17662,13,51,1-13-2020-051-07,7,1,3,2145.58517368818,7,5
17664,21,60,1-21-2020-060-01,1,1,8,19.4391663287286,11,5
20382,20,95,1-20-2020-095-05,5,2,99,93.301698257228,11,5
20212,10,195,1-10-2020-195-05,5,1,10,28.215697997965,4,5
19481,76,79,1-76-2020-079-08,8,1,1,30.2377231003998,3,5
19485,77,93,1-77-2020-093-03,3,1,2,607.288162382099,9,5
19893,30,156,1-30-2020-156-01,1,1,99,36.3179049018098,10,5
17665,21,61,1-21-2020-061-01,1,1,99,19.4391663287286,11,5
17695,15,43,1-15-2020-043-03,3,1,1,16.4662013578595,1,5
16111,19,6,1-19-2020-006-03,3,1,1,68.9262359257111,9,5
17631,11,36,1-11-2020-036-02,2,1,8,105.690821821154,8,5
17638,24,73,1-24-2020-073-09,9,1,10,639.998158969657,1,5
19986,52,189,1-52-2020-189-06,6,1,9,95.953409097074,12,5
20390,22,150,1-22-2020-150-04,4,1,7,127.131967535271,12,5
20269,21,168,1-21-2020-168-02,2,1,2,34.881400640758,11,5
20269,21,168,1-21-2020-168-02,2,1,1,34.881400640758,11,5
17645,77,49,1-77-2020-049-06,6,1,1,348.859774392076,9,5
17386,21,47,1-21-2020-047-08,8,1,8,44.7870590449917,11,5
17392,16,45,1-16-2020-045-07,7,2,10,508.630128680138,5,5
17328,15,36,1-15-2020-036-04,4,1,3,8.21723183954749,1,5
17332,22,37,1-22-2020-037-09,9,1,10,45.7303551802912,12,5
16127,21,5,1-21-2020-005-09,9,1,99,718.014699459711,11,5
20093,18,92,1-18-2020-092-09,9,1,1,549.090192318805,6,5
20094,18,93,1-18-2020-093-04,4,2,7,297.510290437817,6,5
19657,11,85,1-11-2020-085-02,2,2,10,77.1543052356597,8,5
19660,24,166,1-24-2020-166-03,3,1,1,198.319659830334,1,5
20187,22,142,1-22-2020-142-09,9,1,3,204.659082722592,12,5
16713,24,33,1-24-2020-033-07,7,2,9,583.902922818544,1,5
16713,24,33,1-24-2020-033-07,7,2,8,583.902922818544,1,5
17712,27,38,1-27-2020-038-03,3,1,9,20.3106052940248,3,5
17712,27,38,1-27-2020-038-03,3,1,8,20.3106052940248,3,5
17760,13,54,1-13-2020-054-03,3,1,2,835.721556311708,7,5
17790,15,46,1-15-2020-046-06,6,1,9,17.3600982225578,1,5
17794,22,52,1-22-2020-052-09,9,1,10,158.438481376136,12,5
17796,18,36,1-18-2020-036-08,8,1,1,152.265654784022,6,5
17798,30,62,1-30-2020-062-03,3,1,3,109.922749041155,10,5
17774,19,75,1-19-2020-075-04,4,1,9,283.223887092113,9,5
17775,19,76,1-19-2020-076-06,6,1,1,191.029899833888,9,5
17776,19,77,1-19-2020-077-03,3,1,5,94.4343925681163,9,5
17486,19,65,1-19-2020-065-03,3,1,3,198.212584463051,9,5
17403,19,60,1-19-2020-060-06,6,1,10,95.286143069403,9,5
19471,29,152,1-29-2020-152-09,9,1,99,328.199302060882,2,5
19875,29,167,1-29-2020-167-04,4,1,1,158.166665455797,2,5
